agency,sku,date,volume,price_regular,price_actual,promotions,soda_volume,industry_volume,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,avg_max_temp,avg_population_2017,avg_yearly_household_income_2017,timeseries,discount_in_percent
Agency_13,SKU_02,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,24,0.0
Agency_01,SKU_01,2013-01-01,80.676,1141.5,1033.432731,108.067269,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,25,9.467128252299606
Agency_13,SKU_05,2013-01-01,1138.3785,1295.778368,1207.88242,87.895948,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,26,6.783254773396557
Agency_38,SKU_02,2013-01-01,3391.74,1166.021887,1123.549322,42.472565,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,27,3.642518675980908
Agency_20,SKU_03,2013-01-01,315.8118,1256.305437,1135.741035,120.564402,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1825752,102317,28,9.596742834123388
Agency_48,SKU_04,2013-01-01,3539.939558,1720.664633,1410.490406,310.174227,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,29,18.026419620144534
Agency_01,SKU_02,2013-01-01,78.408,1074.157799,969.1862085,104.9715905,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,30,9.772455275912398
Agency_53,SKU_03,2013-01-01,249.0624,1259.762728,1255.490812,4.271916,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1729177,111048,31,0.33910480958442835
Agency_38,SKU_05,2013-01-01,4335.1038,1295.143618,1119.308736,175.834882,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,32,13.576477508458062
Agency_40,SKU_03,2013-01-01,4.0608,1228.803191,1228.803191,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,143299,137912,33,0.0
Agency_01,SKU_05,2013-01-01,15.975,1260.322817,1172.763381,87.559436,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,34,6.947381640556302
Agency_40,SKU_18,2013-01-01,1.0998,1152.68617,1143.817512,8.868658,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,143299,137912,35,0.769390509821073
Agency_22,SKU_03,2013-01-01,86.4612,1258.729104,1156.645866,102.083238,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,48151,132110,36,8.110024442558691
Agency_53,SKU_24,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1729177,111048,37,0.0
Agency_51,SKU_01,2013-01-01,3384.936,1221.67324,1153.115267,68.557973,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,38,5.611809341096806
Agency_31,SKU_08,2013-01-01,9.2655,1511.725352,1481.321349,30.404003,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,39,2.011212086889709
Agency_31,SKU_03,2013-01-01,527.481,1272.367022,1112.2395,160.127522,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,40,12.585010396473479
Agency_51,SKU_07,2013-01-01,12.8325,1143.50339,1143.50339,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,41,0.0
Agency_41,SKU_04,2013-01-01,1395.3204,1704.996144,1592.431345,112.564799,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1573238,125229,42,6.602055928168714
Agency_51,SKU_02,2013-01-01,3318.516,1218.473539,1127.936534,90.537005,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,43,7.4303628353147175
Agency_13,SKU_04,2013-01-01,1812.204,1763.501851,1623.003226,140.498625,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,44,7.967024526814631
Agency_01,SKU_11,2013-01-01,7.668,1779.102113,1672.084507,107.017606,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,45,6.015259338855048
Agency_20,SKU_23,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1825752,102317,46,0.0
Agency_51,SKU_05,2013-01-01,2211.3873,1323.072771,1201.050507,122.022264,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,47,9.22264191921761
Agency_48,SKU_03,2013-01-01,6493.814243,1330.643851,1263.553534,67.090317,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,48,5.0419439393629295
Agency_53,SKU_15,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1729177,111048,49,0.0
Agency_38,SKU_04,2013-01-01,2115.2178,1723.634393,1642.597622,81.036771,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,50,4.701505802454709
Agency_01,SKU_04,2013-01-01,230.2956,1725.711827,1467.68186,258.029967,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,51,14.952088927185638
Agency_41,SKU_03,2013-01-01,737.5428,1239.869073,1166.78186,73.087213,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1573238,125229,52,5.8947524856924955
Agency_20,SKU_21,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1825752,102317,53,0.0
Agency_17,SKU_01,2013-01-01,79.164,1201.125,1143.050563,58.074437,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,147910,123013,54,4.835003600790926
Agency_13,SKU_03,2013-01-01,276.219,1250.632814,1158.388445,92.244369,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,55,7.375815504549843
Agency_17,SKU_02,2013-01-01,856.548,1201.125,1124.020355,77.104645,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,147910,123013,56,6.419368924966178
Agency_38,SKU_03,2013-01-01,2567.9484,1254.941546,1211.009009,43.932537,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,57,3.5007636124591257
Agency_51,SKU_04,2013-01-01,3721.536,1727.486349,1411.296353,316.189996,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,58,18.30347291502678
Agency_17,SKU_05,2013-01-01,739.8342,1302.989855,1229.401214,73.588641,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,147910,123013,59,5.6476756682038785
Agency_01,SKU_03,2013-01-01,35.955,1239.734043,1141.894806,97.839237,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,17.072,153733,120207,60,7.891953726078328
Agency_48,SKU_23,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,61,0.0
Agency_45,SKU_01,2013-01-01,32.616,1176.035417,1176.035417,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,62,0.0
Agency_48,SKU_17,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,63,0.0
Agency_45,SKU_02,2013-01-01,40.5,1178.341061,1178.341061,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,64,0.0
Agency_38,SKU_14,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,65,0.0
Agency_55,SKU_01,2013-01-01,3777.3,1144.459051,1014.878638,129.580413,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.20731707,2025793,238553,66,11.322415851119866
Agency_50,SKU_01,2013-01-01,1144.8,1222.949469,1214.831647,8.117822,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,67,0.6637904676992015
Agency_45,SKU_05,2013-01-01,260.6481,1368.887961,1368.887961,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,68,0.0
Agency_48,SKU_28,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,69,0.0
Agency_17,SKU_04,2013-01-01,340.587,1749.295775,1615.518828,133.776947,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,147910,123013,70,7.647474424386579
Agency_13,SKU_20,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,71,0.0
Agency_55,SKU_02,2013-01-01,824.364,1113.745427,1069.704737,44.04069,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.20731707,2025793,238553,72,3.9542869431687455
Agency_50,SKU_02,2013-01-01,10098.432,1225.171481,1125.231213,99.940268,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,73,8.157247336383273
Agency_45,SKU_04,2013-01-01,185.7573,1743.175326,1708.807629,34.367697,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,74,1.9715571054382854
Agency_51,SKU_03,2013-01-01,3513.3534,1331.090275,1230.196357,100.893918,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,75,7.579795292246425
Agency_55,SKU_05,2013-01-01,201.0294,1282.900571,1053.045023,229.855548,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.20731707,2025793,238553,76,17.91686380035137
Agency_50,SKU_05,2013-01-01,4190.562,1319.212094,1226.521583,92.690511,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,77,7.026202338621071
Agency_07,SKU_01,2013-01-01,6841.044,1175.324069,1085.409365,89.914704,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,78,7.6502052813826955
Agency_17,SKU_03,2013-01-01,12.0978,1250.585106,1180.972697,69.612409,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,147910,123013,79,5.566387178770702
Agency_33,SKU_04,2013-01-01,0.7029,1992.368758,1842.772087,149.596671,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.7,39719,91375,80,7.5084830757017915
Agency_38,SKU_21,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,81,0.0
Agency_45,SKU_08,2013-01-01,8.5626,1499.532193,1499.532193,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,82,0.0
Agency_45,SKU_03,2013-01-01,33.9246,1317.206572,1317.206572,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.81142857,176318,137609,83,0.0
Agency_10,SKU_01,2013-01-01,2767.5,1185.2452,1077.629812,107.615388,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,84,9.07958859483253
Agency_07,SKU_02,2013-01-01,514.512,1132.55129,1045.527881,87.023409,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,85,7.683838230408089
Agency_07,SKU_05,2013-01-01,94.2525,1324.847865,1211.293111,113.554754,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,86,8.571154243434584
Agency_08,SKU_01,2013-01-01,128.304,1175.5625,1086.035617,89.526883,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,71662,123610,87,7.615663395183157
Agency_55,SKU_04,2013-01-01,1958.5989,1735.602978,1584.436801,151.166177,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.20731707,2025793,238553,88,8.709720997033228
Agency_50,SKU_04,2013-01-01,1871.0559,1740.959669,599.1799583,1141.779711,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,89,65.58335217816007
Agency_10,SKU_02,2013-01-01,104.436,1152.238689,1065.811208,86.427481,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,90,7.500831366373257
Agency_10,SKU_05,2013-01-01,29.7135,1383.226034,1337.581781,45.644253,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,91,3.299840508930155
Agency_42,SKU_01,2013-01-01,239.652,1132.9375,1103.174258,29.763242,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,175794,110057,92,2.627085960169912
Agency_08,SKU_02,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,71662,123610,93,0.0
Agency_51,SKU_17,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1750152,238870,94,0.0
Agency_42,SKU_02,2013-01-01,175.284,1106.555063,1078.136841,28.418222,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,175794,110057,95,2.5681706180038506
Agency_08,SKU_05,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,71662,123610,96,0.0
Agency_42,SKU_05,2013-01-01,476.3106,1259.788732,1157.323432,102.4653,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,175794,110057,97,8.133530440245279
Agency_33,SKU_03,2013-01-01,3.5532,1178.098404,1178.098404,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.7,39719,91375,98,0.0
Agency_33,SKU_18,2013-01-01,6.345,1108.282979,1093.73617,14.546809,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.7,39719,91375,99,1.3125536776830713
Agency_42,SKU_04,2013-01-01,170.2296,1698.90845,1579.315027,119.593423,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,175794,110057,100,7.039427168662326
Agency_07,SKU_04,2013-01-01,2338.74,1738.971567,1594.730656,144.240911,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,101,8.294610086629438
Agency_39,SKU_01,2013-01-01,2354.832,1167.261138,1087.793629,79.467509,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1448423,131411,102,6.8080317602418114
Agency_08,SKU_04,2013-01-01,192.339,1742.112676,1589.098112,153.014564,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,71662,123610,103,8.78327596762174
Agency_55,SKU_03,2013-01-01,3990.2436,1258.08892,1143.512393,114.576527,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.20731707,2025793,238553,104,9.107188305894946
Agency_39,SKU_07,2013-01-01,2.655,1120.283898,1057.70339,62.580508,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1448423,131411,105,5.58612938307179
Agency_50,SKU_03,2013-01-01,400.2426,1330.907102,1296.215916,34.691186,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,106,2.6065820783335187
Agency_23,SKU_01,2013-01-01,42.444,1167.0,1060.82236,106.17764,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,49101,90240,107,9.098341045415594
Agency_47,SKU_02,2013-01-01,0.432,1201.125,1201.125,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.82888889,32183,128574,108,0.0
Agency_23,SKU_02,2013-01-01,52.164,1167.0,1060.072593,106.927407,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,49101,90240,109,9.162588431876607
Agency_47,SKU_05,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.82888889,32183,128574,110,0.0
Agency_07,SKU_21,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,111,0.0
Agency_39,SKU_02,2013-01-01,3634.632,1167.173142,1087.483166,79.689976,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1448423,131411,112,6.827605359685358
Agency_10,SKU_04,2013-01-01,1824.0894,1758.558778,1560.183078,198.3757,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,113,11.280583991944338
Agency_11,SKU_03,2013-01-01,74.9556,1289.159082,1191.265549,97.893533,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,135561,100461,114,7.59359603999594
Agency_23,SKU_05,2013-01-01,555.4188,1310.176057,1173.644798,136.531259,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,49101,90240,115,10.420833007178059
Agency_46,SKU_01,2013-01-01,2973.564,1193.513129,1183.866526,9.646603,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,116,0.8082527762457485
Agency_39,SKU_05,2013-01-01,6502.9752,1296.037446,1145.392053,150.645393,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1448423,131411,117,11.623537071783032
Agency_46,SKU_03,2013-01-01,1720.5948,1275.13121,1233.411285,41.719925,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,118,3.271814278626276
Agency_42,SKU_03,2013-01-01,567.3276,1239.734043,1191.005435,48.728608,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,175794,110057,119,3.9305694858618967
Agency_47,SKU_04,2013-01-01,80.6418,1742.112676,1555.167206,186.94547,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.82888889,32183,128574,120,10.730963190580676
Agency_08,SKU_03,2013-01-01,7.5294,1288.643617,1204.416089,84.227528,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,71662,123610,121,6.536138222302622
Agency_23,SKU_04,2013-01-01,24.6015,1742.112676,1581.480428,160.632248,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,49101,90240,122,9.220542977095013
Agency_46,SKU_02,2013-01-01,4123.548,1194.218946,1178.938427,15.280519,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,123,1.2795408288556829
Agency_07,SKU_03,2013-01-01,356.6736,1288.643617,1190.668945,97.974672,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1868030,175785,124,7.602929988361553
Agency_46,SKU_05,2013-01-01,4575.7512,1293.615167,1233.8543,59.760867,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,125,4.619678906408493
Agency_10,SKU_32,2013-01-01,111.1221,1539.530368,1388.222489,151.307879,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,126,9.828184110233805
Agency_30,SKU_01,2013-01-01,1131.408,1138.206453,1087.282401,50.924052,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,26.40169492,1094349,247220,127,4.474061086701641
Agency_54,SKU_01,2013-01-01,52.488,1154.937371,1154.937371,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.75438596,48332,122313,128,0.0
Agency_30,SKU_02,2013-01-01,158.976,1082.025755,1072.945643,9.080112,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,26.40169492,1094349,247220,129,0.8391770674626872
Agency_39,SKU_04,2013-01-01,1611.0468,1730.828687,1589.925152,140.903535,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1448423,131411,130,8.14081347612885
Agency_54,SKU_02,2013-01-01,27.324,1169.45331,1169.45331,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.75438596,48332,122313,131,0.0
Agency_50,SKU_17,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,2057678,144594,132,0.0
Agency_30,SKU_05,2013-01-01,223.9695,1463.502263,1413.994789,49.507474,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,26.40169492,1094349,247220,133,3.382808161739071
Agency_23,SKU_03,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,49101,90240,134,0.0
Agency_47,SKU_03,2013-01-01,237.5568,1277.792554,1129.660138,148.132416,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.82888889,32183,128574,135,11.592837627382199
Agency_54,SKU_05,2013-01-01,61.2162,1315.970699,1315.562498,0.408201,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.75438596,48332,122313,136,0.031019003714154884
Agency_46,SKU_17,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,137,0.0
Agency_30,SKU_06,2013-01-01,22.356,1076.359641,1076.359641,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,26.40169492,1094349,247220,138,0.0
Agency_46,SKU_04,2013-01-01,3925.1853,1722.803207,1303.032786,419.770421,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1709754,212229,139,24.365546760907556
Agency_32,SKU_01,2013-01-01,1747.008,1120.036599,1097.425697,22.610902,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.75438596,1199179,126063,140,2.018764567174648
Agency_10,SKU_03,2013-01-01,1907.3916,1295.209803,1196.373029,98.836774,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.36,1716027,117463,141,7.630947030440288
Agency_18,SKU_01,2013-01-01,0.54,1201.125,1117.0375,84.0875,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,30.59489796,60189,135477,142,7.000728483713186
Agency_54,SKU_04,2013-01-01,78.1497,1749.384148,1741.903221,7.480927,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,21.75438596,48332,122313,143,0.4276320331673658
Agency_57,SKU_01,2013-01-01,7395.948,1220.425184,1110.166349,110.258835,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,2212416,187351,144,9.03446081296205
Agency_12,SKU_01,2013-01-01,9191.772,1205.459203,1100.188659,105.270544,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1596955,205376,145,8.732816816862446
